question,res_w_ref_i9,res_w_ref_i8,res_w_ref_i6,res_w_ref_i7,res_w_ref_i5,res_w_ref_i4,res_w_ref_i0,res_w_ref_i1,res_w_ref_i3,res_w_ref_i2,res_w_ref_i10,res_wo_ref_i8,res_wo_ref_i9,res_wo_ref_i4,res_wo_ref_i5,res_wo_ref_i7,res_wo_ref_i6,res_wo_ref_i2,res_wo_ref_i3,res_wo_ref_i1,res_wo_ref_i0,res_wo_ref_i10,res_w_ref_i9_acc,res_w_ref_i8_acc,res_w_ref_i6_acc,res_w_ref_i7_acc,res_w_ref_i5_acc,res_w_ref_i4_acc,res_w_ref_i0_acc,res_w_ref_i1_acc,res_w_ref_i3_acc,res_w_ref_i2_acc,res_w_ref_i10_acc,res_wo_ref_i8_acc,res_wo_ref_i9_acc,res_wo_ref_i4_acc,res_wo_ref_i5_acc,res_wo_ref_i7_acc,res_wo_ref_i6_acc,res_wo_ref_i2_acc,res_wo_ref_i3_acc,res_wo_ref_i1_acc,res_wo_ref_i0_acc,res_wo_ref_i10_acc,type,level
Which genus of moth in the world's seventh-largest country contains only one species?,Indogrammodes,Parectropis,Parectropis,Indogrammodes,Parectropis,Indogrammodes,Parectropis,Parectropis,Eutrapela,Parectropis,Eutrapela,Nepita,Nepita,Nepita,Nepita,Nepita,Nepita,Crambidae,Nepita,Crambidae,Crambidae,Eutrapela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,bridge,hard
What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,The names of the current members of the American heavy metal band who wrote the music for Hurt Locker The Musical are not mentioned in the given context.,The context does not provide information about the band that wrote the music for Hurt Locker The Musical.,There is no information provided in the given context about the band who wrote the music for Hurt Locker The Musical.,The context does not provide any information about the current members of the American heavy metal band that wrote the music for Hurt Locker The Musical.,No band is mentioned in the context as having written the music for Hurt Locker The Musical.,There is no information provided in the given context about the specific band or its members who wrote the music for Hurt Locker The Musical.,"James Hetfield, Lars Ulrich, Kirk Hammett, Robert Trujillo.",Metallica,The context does not provide any information about the American heavy metal band who wrote the music for Hurt Locker The Musical.,Metallica.,There is no information provided about the current members of the American heavy metal band who wrote the music for Hurt Locker The Musical.,Metallica,Metallica,Metallica,Metallica,There is no specific American heavy metal band mentioned in the context that wrote the music for Hurt Locker The Musical.,Metallica,"Hetfield and Ulrich, Hammett, and Trujillo.",No current members of an American heavy metal band wrote the music for Hurt Locker The Musical.,"Hetfield and Ulrich, Kirk Hammett, and Robert Trujillo.","Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",Metallica,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,bridge,easy
"New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?",Eartha Kitt,Eartha Kitt,Eartha Kitt,Eartha Kitt,"Eartha Kitt, Carol Lawrence","Eartha Kitt, Carol Lawrence",Carol Lawrence,Eartha Kitt,Carol Lawrence,Eartha Kitt and Carol Lawrence,Eartha Kitt,Eartha Kitt,"Eartha Kitt, Carol Lawrence",Carol Lawrence,Eartha Kitt and Carol Lawrence,"Eartha Kitt, Carol Lawrence",Eartha Kitt,Carol Lawrence,Carol Lawrence,Carol Lawrence,Carol Lawrence,Eartha Kitt,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,easy
Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,Ulster County,New Paltz (village),Ulster County,New Paltz,Ulster County,Ulster County,Ulster County,New Paltz (village),Ulster County,Ulster County,New Paltz,New Paltz.,New Paltz.,Ulster County,"New Paltz (village), New York",New Paltz,New Paltz.,Ulster County.,Ulster County,Ulster County,Ulster County,New Paltz,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,hard
"Who was born first, Francis Nethersole or Elizabeth Stuart?",Elizabeth Stuart,Francis Nethersole,Francis Nethersole,Francis Nethersole.,Francis Nethersole,Elizabeth Stuart,Elizabeth Stuart,Elizabeth Stuart,Elizabeth Stuart,Elizabeth Stuart,Francis Nethersole,Elizabeth Stuart,Elizabeth Stuart,Elizabeth Stuart,Elizabeth Stuart,Elizabeth Stuart,Elizabeth Stuart,Elizabeth Stuart,Elizabeth Stuart,Elizabeth Stuart,Sir Francis Nethersole,Elizabeth Stuart,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bridge,hard
Which industry do Richard Hawley and Chicago's Catherine belong to? ,Music,Music,Music.,Music,Music,Music.,rock band,rock band,Music,Music,Music,Music,Music,Music,Music,Music,Music,Music,music,music industry,rock band,Music,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,comparison,easy
Are the New Orleans Outfall Canals the same length as the Augusta Canal?,No.,No.,Unclear.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,no,No.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,comparison,hard
"The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?",Unknown,Zygi Kamasa,Unknown,Zygi Kamasa,Unknown.,Zygi Kamasa,Zygi Kamasa,Zygi Kamasa,Zygi Kamasa,Zygi Kamasa,"Apologies for the confusion caused. Based on the given context, it is not specified which Swedish-British entertainment studio executive and film executive producer served as the Executive Producer for a 2016 American action thriller film directed by Babak Najafi.",Zygi Kamasa,Zygi Kamasa,CEO of Lionsgate UK & Europe,Zygi Kamasa,Zygi Kamasa,Zygi Kamasa,Zygi Kamasa,Zygi Kamasa,CEO of Lionsgate UK & Europe,CEO of Lionsgate UK & Europe,Zygi Kamasa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,bridge,easy
What genre of music is the solo artist that contributed to Real Damage a variant of?,Electropop.,Synth-pop.,synth-pop,Synth-pop,Synth-pop.,synth-pop,synth-pop,indie rock,synth-pop,synth-pop,Unknown.,Electropop,Electropop.,synth-pop,synth-pop,Electropop.,synth-pop,synth-pop,synth-pop,synth-pop,synth-pop,Electropop.,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,hard
Jake David Shapiro was best know for being the screenwriter of a film directed by who?,Roger Christian,Mel Brooks,Roger Christian,Roger Christian,Roger Christian,Mel Brooks,Roger Christian,No specific director mentioned.,Roger Christian,Roger Christian,Mel Brooks,Mel Brooks,Mel Brooks,Mel Brooks,Roger Christian,Mel Brooks,Mel Brooks,Mel Brooks,Mel Brooks,L. Ron Hubbard,Roger Christian,Mel Brooks,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bridge,hard
