question,extracted_sentences
Which genus of moth in the world's seventh-largest country contains only one species?,"['Indogrammodes is a genus of moths of the Crambidae family.', ' It contains only one species, Indogrammodes pectinicornalis, which is found in India.', 'India, officially the Republic of India (""Bhārat Gaṇarājya""), is a country in South Asia.', ' It is the seventh-largest country by area, the second-most populous country (with over 1.2 billion people), and the most populous democracy in the world.']"
What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,"[' The Playbills, which describe the musical as having ""explosions, negligible storytelling, camouflage and tits"", also state that the musical\'s cast included actors such as Taye Diggs (who would go on to play the role of Hedwig in the summer of 2015) and that the music was written by Metallica and Stephen R. Schwartz, which is the real name of ""Hedwig"" songwriter Stephen Trask.', "" Metallica's current lineup comprises founding members Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.""]"
"New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?","[' It helped jump start the careers of several young performers including Paul Lynde, Alice Ghostley, Eartha Kitt, Robert Clary, Carol Lawrence, Ronny Graham, performer/writer Mel Brooks (as Melvin Brooks), and lyricist Sheldon Harnick.', 'Carol Lawrence (born September 5, 1932) is an American actress, most often associated with musical theatre, but who has also appeared extensively on television.']"
Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,"["" All tracks were recorded at Tarquin's Jungle Room Studios in New Paltz (village), New York."", 'New Paltz is a village in Ulster County located in the U.S. state of New York.']"
"Who was born first, Francis Nethersole or Elizabeth Stuart?","['Sir Francis Nethersole (1587–1659) was an English diplomat, secretary to the Electress Elizabeth, Member of Parliament for Corfe Castle, Dorset, and a Civil War political pamphleteer.', 'Elizabeth Stuart (19 August 1596 – 13 February 1662) was Electress of the Palatinate and briefly Queen of Bohemia as the wife of Frederick V of the Palatinate.']"
Which industry do Richard Hawley and Chicago's Catherine belong to? ,"['Catherine was an alternative rock band from Chicago, Illinois that was active from 1985 to 1998.', 'Richard Willis Hawley (born 17 January 1967) is an English guitarist, singer-songwriter and producer.']"
Are the New Orleans Outfall Canals the same length as the Augusta Canal?,"[' The canal is fed by the Savannah River and passes through three levels (approximately 13 miles total) in suburban and urban Augusta before the water returns to the river at various locations.', ' There are 13 mi of levees and floodwalls that line the sides of the canals.']"
"The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?","[' He currently serves as CEO of Lionsgate UK & Europe and was the Executive Producer for Brooklyn, Eddie the Eagle, Salmon Fishing in the Yemen, The Railway Man and London Has Fallen.', 'London Has Fallen is a 2016 American action thriller film directed by Babak Najafi and written by Creighton Rothenberger, Katrin Benedikt, Chad St. John and Christian Gudegast.']"
What genre of music is the solo artist that contributed to Real Damage a variant of?,"['Real Damage is a Split EP of American indie rock band Gossip and Electropop solo artist Tracy + the Plastics, it was released on January 25, 2005.', 'Electropop is a variant of synth-pop that places more emphasis on a harder, electronic sound.']"
Jake David Shapiro was best know for being the screenwriter of a film directed by who?,"[' Shapiro is best known as the original screenwriter of the film """" and for writing the screenplay adaptation of L. Ron Hubbard\'s novel ""Battlefield Earth"".', ""Battlefield Earth (also referred to as Battlefield Earth: A Saga of the Year 3000) is a 2000 American science fiction action film based upon the first half of L. Ron Hubbard's 1982 novel of the same name."", ' Directed by Roger Christian and starring John Travolta, Barry Pepper and Forest Whitaker, the film depicts an Earth that has been under the rule of the alien Psychlos for 1,000 years and tells the story of the rebellion that develops when the Psychlos attempt to use the surviving humans as gold miners.']"
